t_and_o_map  europe continent europa_regina 
siege_of_constantinople_(717%e2%80%93718)  europe migration_period islamic_world history_of_europe constantinople early_middle_ages bulgars history_of_islam_in_southern_italy umayyad_caliphate umayyad battle_of_tours roman_catholic_church 
cyprus  pound_sterling united_states_dollar renminbi canada mediterranean_tropical-like_cyclone europe european_union demonym moscow paris london madrid mediterranean_sea borders_of_the_continents classical_antiquity asia russian_federation demographics_of_europe ancient_greece world_war council_of_europe belarus kazakhstan vatican_city european_integration enlargement_of_the_european_union euro schengen_area ancient_greek phoenicia hera phoenician_language anatolia boundaries_between_continents albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia greenland aegean_sea anaximander herodotus ptolemy eastern_orthodox history_of_europe lascaux bronze_age balkans near_east mediterranean_coast minoan_civilization crete greeks phoenicians mediterranean_basin parthenon athens polis athenian_democracy aristotle socrates plato thucydides homer sophocles euripides hippocrates galen pythagoras euclid archimedes city_states achaemenid_empire augustus goths byzantine_empire asia_minor third_crusade parliament ottoman_empire rome eastern_question greek_war_of_independence congress_of_berlin interwar_period turkish_republic czechoslovakia british_empire berlin decolonisation european_parliament brexit geography_of_europe plain southern_europe oak cupressus_sempervirens neolithic balkan cretan_dwarf_hippopotamus dwarf_elephant mediterranean regions_of_europe eurozone area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density vienna brussels sofia zagreb nicosia prague copenhagen tallinn budapest dublin riga vilnius luxembourg_(city) valletta amsterdam warsaw lisbon bucharest bratislava ljubljana stockholm list_of_states_with_limited_recognition abkhazia northern_cyprus south_ossetia transnistria british_overseas_territories heligoland akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
battle_of_manzikert  europe middle_ages anatolia turkey armenia roman_era ancient_rome roman_empire constantinople pechenegs cumans byzantine_empire asia_minor high_middle_ages crusades turkish_republic ankara 
superpower  united_states europe russian_federation modern_era africa cold_war nato revolutions_of_1989 council_of_europe russia united_kingdom ottoman_empire modern_history napoleonic_wars balance_of_power_(international_relations) great_power world_war_ii communist stalin joseph_stalin 
european_neolithic  europe greeks 
copernicus  europe russian_federation renaissance_science russia islam history_of_science_in_the_renaissance 
holy_roman_emperor  europe middle_ages franks belgium czech_republic france germany hungary italy liechtenstein luxembourg serbia sweden switzerland christendom europa_regina history_of_europe greeks early_middle_ages carolingian_empire decline_of_the_roman_empire slavs byzantine_empire charlemagne frankish_empire carolingian holy_roman_empire third_crusade monarchy roman_catholic_church papacy slavic_peoples early_modern_period pope protestant thirty_years_war peace_of_westphalia habsburg_dynasty napoleon napoleonic_empire prussia austrian_empire italian_unification habsburg_empire rhineland sudetenland republic brussels prague vaduz amsterdam bern 
temperate_broadleaf_forest  europe european_climate 
vikings  europe russian_federation migration_period middle_ages franks channel_islands denmark isle_of_man russia greenland burial_mound city_states germanic_peoples early_middle_ages ostrogoths visigoths goths vandals angles saxons slavs emirate_of_sicily kiev medieval_demography slavic_peoples france_in_the_middle_ages christopher_columbus england ireland whales %c3%85land_islands %c3%85land 
magna_carta  europe middle_ages democracy frankish_empire high_middle_ages monarchy parliament royal_family england french_revolution factory_acts ireland forest constitutional_monarchy 
paris  coriolis_effect montevideo europe european_union demonym istanbul moscow paris london madrid demographics_of_europe european_climate council_of_europe vatican_city franks albania france gibraltar hungary monaco history_of_europe greeks athens augustus carolingian_empire caucasus asturias frankish_empire charles_martel kiev late_middle_ages france_in_the_middle_ages list_of_epidemics florence rome avignon orient napoleon napoleonic_empire education_in_france italian_unification russian_revolution munich_agreement battles_of_narvik battle_of_france berlin french_foreign_ministry decolonisation southern_europe capital_city language tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara capital_(political) pristina stepanakert tskhinvali tiraspol 
archaeological_site_of_atapuerca  europe spain 
sukhumi  crimean_war europe moscow paris london madrid caucasus_mountains black_sea asia russian_federation vatican_city gibraltar georgia_(country) monaco russia tanais arkhangelsk athens kiev jerusalem rome stalin joseph_stalin berlin tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara abkhazia pristina stepanakert tskhinvali tiraspol 
history_of_europe  arctic_ocean europe european_union classical_antiquity demographics_of_europe ancient_history middle_ages renaissance_exploration age_of_discovery western_europe council_of_europe vatican_city european_integration schengen_area balkans germanic_peoples late_antiquity early_middle_ages vikings renaissance high_middle_ages late_middle_ages maritime_republics crusades mongol_invasion_of_europe black_death thirty_years_war polish%e2%80%93lithuanian_commonwealth russian_empire habsburg_empire interwar_period history_of_the_european_union british_empire battle_of_berlin schuman_declaration european_coal_and_steel_community european_community geography_of_europe geology_of_europe southern_europe balkan politics_of_europe eurozone akrotiri_and_dhekelia 
treaty_of_rome  europe european_union european_integration enlargement_of_the_european_union schengen_area italy isle_of_man democracy history_of_the_european_union schuman_declaration european_coal_and_steel_community euratom european_community european_parliament european_court_of_justice brexit eurozone 
tanais  europe borders_of_the_continents russian_federation boundaries_between_continents russia t_and_o_map japheth anaximander croats sukhumi 
russian_famine_of_1921  world_war_i europe soviet_union ukraine russian_civil_war soviet_famine_of_1932-1933 the_great_war 
cardial_ware  europe 
napoleon  wind europe paris russian_federation franks austria france germany san_marino liechtenstein lithuania luxembourg malta monaco norway poland portugal russia nile history_of_europe charlemagne asturias carolingian holy_roman_empire maritime_republics parliament pandemic florence rome england french_revolution napoleon reign_of_terror napoleonic_wars battle_of_waterloo napoleonic_empire napoleonic_code balance_of_power_(international_relations) prussia austrian_empire italian_unification russian_empire wilhelm_ii franz_joseph_i_of_austria saarland british_empire superpower alps republic brussels vilnius bratislava 
kuma%e2%80%93manych_depression  europe continent eurasia borders_of_the_continents caspian_sea black_sea asia boundaries_between_continents 
cork_oak  europe mediterranean_forest oak fauna_of_europe 
temperate_broadleaf_and_mixed_forest  europe anatolia kosovo poland asia_minor biome tundra taiga montane_forest mediterranean_forest grassland 
interwar_period  world_war_i europe istanbul modern_era cold_war vatican_city lithuania poland romania slovakia history_of_europe kiev maritime_republics crusades mongol_invasion_of_europe polish%e2%80%93lithuanian_commonwealth copernicus modern_history russian_empire habsburg_empire history_of_the_european_union treaty_of_versailles the_great_war weimar_republic nazi_germany second_polish_republic danzig operation_barbarossa british_empire brussels zagreb warsaw bucharest akrotiri_and_dhekelia 
montevideo  extratropical_cyclone uruguay extratropical_transition_technique madrid americas phoney_war andorra_la_vella lisbon 
aleutian_low  tropical_cyclone hurricane european_windstorm extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone weather_system depression_(weather) cyclogenesis bomb_(meteorology) subtropical_cyclone low_pressure_system extratropical_transition_technique nor%27easter sudestada centers_of_action mesocyclone polar_low polar_high siberian_high azores_high atlantic_hurricane australian_east_coast_low genoa_low icelandic_low kona_storm pacific_hurricane polar_vortex weather_bomb alberta_clipper colorado_low gulf_low 
region_of_finland  europe 
federation  united_states canada europe european_union russian_federation confederation austria belgium germany montenegro poland russia switzerland democracy city_states politics croats feudalism grand_duchy_of_lithuania napoleonic_empire history_of_the_european_union czechoslovakia schuman_declaration european_coal_and_steel_community superpower parliamentary_democracy constitutional_monarchy de_facto 
soviet_occupation_of_the_baltic_states_(1940)  crimean_war europe russian_federation soviet_union estonia latvia lithuania russia grand_duchy_of_lithuania polish%e2%80%93lithuanian_commonwealth kazakh_khanate world_war_ii russian_civil_war molotov%e2%80%93ribbentrop_pact european_theatre_of_world_war_ii vilnius 
genoa_low  tropical_cyclone hurricane european_windstorm extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone weather_system depression_(weather) cyclogenesis bomb_(meteorology) subtropical_cyclone low_pressure_system extratropical_transition_technique nor%27easter sudestada centers_of_action mesocyclone polar_low polar_high siberian_high azores_high aleutian_low atlantic_hurricane australian_east_coast_low icelandic_low kona_storm polar_vortex weather_bomb alberta_clipper colorado_low gulf_low 
bratislava  europe european_union moscow paris london madrid demographics_of_europe iron_curtain revolutions_of_1989 vatican_city gibraltar monaco serbia slovakia history_of_europe danube athens croats kiev rome siege_of_vienna austrian_empire austro-hungarian_empire ausgleich archduke_franz_ferdinand_of_austria austria-hungary czechoslovakia berlin carpathian_mountains visegr%c3%a1d_group tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara pristina stepanakert tskhinvali tiraspol 
geography_of_europe  europe demographics_of_europe western_europe council_of_europe european_integration schengen_area lithuania monaco adriatic_sea history_of_europe balkans geology_of_europe southern_europe balkan politics_of_europe regions_of_europe eurozone 
leonardo_da_vinci  europe western_civilization renaissance_art greek_mythology france italy liechtenstein poland christendom history_of_europe humanism renaissance hagia_sophia late_middle_ages roman_catholic_church early_modern_period school_of_athens raphael michelangelo florence medici quattrocento cinquecento alps southern_europe 
tskhinvali  europe moscow paris london madrid asia vatican_city gibraltar georgia_(country) monaco athens kiev jerusalem rome berlin tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara sukhumi pristina stepanakert south_ossetia tiraspol 
linear_pottery_culture  europe netherlands lascaux homo_erectus_georgicus neanderthal_man neandertal stonehenge vin%c4%8da_culture danube causewayed_enclosure burial_mound megalithic_tomb corded_ware chalcolithic megalithic neolithic bratislava 
grand_duchy_of_lithuania  europe moscow black_sea middle_ages belarus confederation latvia lithuania poland ukraine muscovy history_of_europe carolingian kiev high_middle_ages late_middle_ages mongol_invasion_of_rus tatars golden_horde ivan_the_terrible protestant_reformation medici polish%e2%80%93lithuanian_commonwealth crimean_khanate battle_of_vienna habsburg_dynasty prussia revolutions_of_1848 minsk vilnius transnistria 
polar_bear  arctic_ocean europe renaissance_exploration age_of_discovery norway svalbard greenland barents_sea tundra taiga fauna_of_europe wolf carnivore bear omnivore whales 
code_of_justinian  europe 
eastern_orthodox_church  world_war_i crimean_war europe european_union istanbul moscow classical_antiquity asia russian_federation demographics_of_europe western_civilization middle_ages americas western_europe belarus albania azerbaijan bulgaria croatia georgia_(country) greece hungary republic_of_ireland latvia lithuania luxembourg republic_of_macedonia moldova poland portugal romania russia serbia sweden turkey ukraine united_kingdom cyprus jubilees christendom islam history_of_europe balkans greeks roman_empire roman_law christianity constantinople slavs bulgars magyars byzantine_empire code_of_justinian hagia_sophia charlemagne serbs roman_catholic_church papacy crusades fourth_crusade fall_of_constantinople ottoman_empire turkic_peoples slavic_peoples tatars protestant_reformation monasticism pope protestant grand_duchy_of_lithuania polish%e2%80%93lithuanian_commonwealth russian_empire habsburg_empire the_great_war mussolini turkish_republic secularism berlin balkan tirana brussels sarajevo tbilisi budapest vilnius skopje podgorica belgrade ankara abkhazia 
temperate_steppe  europe european_climate 
mean_sea_level_pressure  extratropical_cyclone extratropical_transition_technique 
polar_vortex  tropical_cyclone hurricane extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone weather_system depression_(weather) cyclogenesis jetstream troposphere subtropical_cyclone convection low_pressure_system blocking_anticyclone vortex extratropical_transition_technique centers_of_action mesocyclone polar_low polar_high siberian_high azores_high aleutian_low atlantic_hurricane genoa_low icelandic_low kona_storm colorado_low 
world_war_ii  tropical_cyclone hurricane synoptic_scale_meteorology surface_weather_analysis jetstream arctic_ocean united_states world_war_i hail great_storm_of_1987 pound_sterling united_states_dollar north_carolina oregon crimean_war canada new_jersey europe european_union moscow paris london continent mediterranean_sea caucasus_mountains caspian_sea russian_federation demographics_of_europe modern_era americas africa oceania western_europe world_war soviet_union cold_war iron_curtain warsaw_pact revolutions_of_1989 council_of_europe belarus vatican_city european_integration schengen_area europe_day katakana albania austria azerbaijan belgium bosnia_and_herzegovina channel_islands croatia denmark estonia finland france germany georgia_(country) greece hungary iceland republic_of_ireland isle_of_man san_marino kosovo latvia liechtenstein luxembourg republic_of_macedonia moldova monaco montenegro netherlands norway poland portugal romania russia slovakia slovenia sweden turkey ukraine faroe_islands adriatic_sea baltic_sea barents_sea bay_of_biscay strait_of_gibraltar arkhangelsk history_of_europe homo_erectus_georgicus balkans near_east rhine mediterranean_coast crete athens democracy philosophy thucydides politics huns magyars croats serbs maritime_republics monarchy roman_catholic_church crusades mongol_invasion_of_europe tatars monasticism rome protestant peace_of_westphalia polish%e2%80%93lithuanian_commonwealth kazakh_khanate battle_of_vienna copernicus england modern_history nation_state great_power prussia nation-states russian_empire habsburg_empire trade_union great_depression interwar_period world_war_ii history_of_the_european_union yugoslav_nationalism german_empire russian_revolution communist treaty_of_versailles russian_civil_war stalin gulag great_purge nkvd population_transfer_in_the_soviet_union the_great_war mussolini fascism kingdom_of_italy turkish_republic adolf_hitler nazi_germany saarland anschluss munich_agreement sudetenland czechoslovakia appeasement second_polish_republic danzig molotov%e2%80%93ribbentrop_pact invasion_of_poland european_theatre_of_world_war_ii battles_of_narvik phoney_war battle_of_france battle_of_britain operation_barbarossa empire_of_japan attack_on_pearl_harbor british_empire allies_of_world_war_ii yalta_conference joseph_stalin battle_of_stalingrad battle_of_kursk battle_of_prokhorovka normandy_landings berlin battle_of_berlin world_war_ii_casualties the_holocaust refugee european_coal_and_steel_community superpower nuclear_proliferation decolonisation glasnost geography_of_europe alps geology_of_europe southern_europe national_park wolf balkan eurasian_wolf central_and_eastern_europe mediterranean politics_of_europe republic eurozone tirana yerevan vienna baku brussels sarajevo zagreb prague helsinki budapest reykjav%c3%adk astana riga vilnius skopje podgorica amsterdam oslo warsaw lisbon bratislava ljubljana stockholm list_of_states_with_limited_recognition tiraspol heligoland akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
geology_of_europe  europe demographics_of_europe western_europe council_of_europe european_integration schengen_area history_of_europe balkans geography_of_europe sarmatian_craton east_european_craton southern_europe avalonia balkan politics_of_europe eurozone 
stepanakert  europe moscow paris london madrid asia vatican_city azerbaijan gibraltar monaco athens kiev jerusalem rome berlin tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara sukhumi pristina tskhinvali tiraspol 
saarland  europe european_integration germany luxembourg burial_mound prussia history_of_the_european_union german_empire adolf_hitler saarland rhineland anschluss hamburg phoney_war battle_of_france berlin schuman_declaration flag_of_europe 
centralized_government  europe ancient_history early_modern_period 
nordic_council  europe european_union nato council_of_europe european_integration denmark finland iceland latvia lithuania norway sweden faroe_islands greenland balance_of_power_(international_relations) great_power superpower stockholm %c3%85land_islands %c3%85land 
muslim_conquest_of_persia  europe middle_ages akkadian_language azerbaijan christendom history_of_europe early_middle_ages sasanids caucasus umayyad_caliphate umayyad yerevan 
moldova  genoa_low europe demonym mediterranean_sea russian_federation demographics_of_europe ancient_history soviet_union nato revolutions_of_1989 council_of_europe belarus kazakhstan vatican_city european_integration enlargement_of_the_european_union albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland eastern_orthodox balkans danube mediterranean_coast polis germanic_peoples ostrogoths huns south_slavs kiev turkic_peoples golden_horde grand_duchy_of_lithuania polish%e2%80%93lithuanian_commonwealth crimean_khanate nation_state nation-states turkish_republic czechoslovakia decolonisation flag_of_europe geography_of_europe oak grassland neolithic balkan central_and_eastern_europe mediterranean politics_of_europe regions_of_europe area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density yerevan baku minsk tbilisi vilnius chi%c8%99in%c4%83u bucharest ankara list_of_states_with_limited_recognition northern_cyprus transnistria tiraspol akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
crustacean  ocean europe adriatic_sea north_sea sea_of_azov polar_bear phytoplankton mollusc echinoderm squid octopuses 
hurricane_alex_(2016)  extratropical_cyclone cold-core_low subtropical_cyclone extratropical_transition_technique atlantic_hurricane 
plain  great_plains europe denmark balkans polish%e2%80%93lithuanian_commonwealth invasion_of_poland geography_of_europe ireland temperate_steppe geology_of_europe southern_europe grassland steppe balkan 
30th_parallel_south  extratropical_cyclone low-pressure_area weather_system middle_latitudes latitude depression_(weather) equator 70th_parallel_south low_pressure_system extratropical_transition_technique subtropical_ridge 
joseph_stalin  europe moscow russian_federation western_europe soviet_union cold_war iron_curtain revolutions_of_1989 berlin_wall winston_churchill belarus kazakhstan austria estonia georgia_(country) poland russia ukraine armenia eastern_orthodox volga_river arkhangelsk history_of_europe kiev ivan_the_terrible great_power prussia interwar_period world_war_ii russian_revolution communist russian_civil_war soviet_famine_of_1932-1933 kulak gulag great_purge nkvd population_transfer_in_the_soviet_union adolf_hitler nazi_germany munich_agreement appeasement molotov%e2%80%93ribbentrop_pact invasion_of_poland european_theatre_of_world_war_ii battle_of_britain operation_barbarossa empire_of_japan allies_of_world_war_ii yalta_conference battle_of_stalingrad battle_of_kursk battle_of_prokhorovka normandy_landings battle_of_berlin the_holocaust glasnost nordic_council tirana yerevan vienna astana warsaw belgrade de_facto abkhazia south_ossetia tskhinvali 
weather_bomb  european_windstorm extratropical_cyclone low-pressure_area weather_system depression_(weather) bomb_(meteorology) low_pressure_system great_storm_of_1987 extratropical_transition_technique nor%27easter sudestada australian_east_coast_low weather_bomb alberta_clipper colorado_low gulf_low 
t%c3%b3rshavn  europe moscow paris london madrid demographics_of_europe vatican_city denmark gibraltar monaco faroe_islands athens vikings kiev rome berlin tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara pristina stepanakert tskhinvali tiraspol mariehamn 
north_america  anticyclone high-pressure_area rain thunderstorm northern_hemisphere jetstream arctic_ocean westerlies cold-core_low united_states ocean blocking_anticyclone precipitation_(meteorology) autumn hail great_plains rocky_mountains lake_superior vancouver_island canada new_jersey subtropical_ridge azores_high panhandle_hook europe list_of_continents_by_population demonym moscow continent eastern_hemisphere atlantic_ocean mediterranean_sea eurasia borders_of_the_continents caspian_sea asia world_population western_civilization modern_era americas africa oceania western_europe world_war soviet_union confederation maghreb anatolia list_of_transcontinental_countries boundaries_between_continents transcontinental_country france norway greenland north_america christendom balkans near_east mediterranean_coast greeks mediterranean_basin scottish_people christianity slavs vikings serbs asia_minor caucasus slavic_peoples pandemic list_of_epidemics protestant new_world modern_history napoleonic_wars british_empire decolonisation geography_of_europe italian_peninsula taiga temperate_steppe temperate prevailing_westerlies geology_of_europe baltica supercontinent columbia_(supercontinent) laurentia rodinia euramerica gondwana pangea laurasia southern_europe avalonia livestock rainforest beech oak spruce birch grassland steppe biogeography quaternary_glaciation wolf bear european_brown_bear balkan mediterranean list_of_countries_by_area language brussels budapest 
great_moravia  europe middle_ages czech_republic hungary slovakia eastern_orthodox history_of_europe early_middle_ages slavs magyars croats slavic_peoples bratislava 
soviet_famine_of_1932-1933  europe 
carnivore  europe africa fauna_of_europe biogeography predator bear omnivore polar_bear 
turkic_peoples  europe borders_of_the_continents russian_federation migration_period kazakhstan anatolia boundaries_between_continents azerbaijan bulgaria moldova russia turkey shem japheth roman_era volga_river ancient_rome roman_empire slavs bulgars pechenegs cumans byzantine_empire sasanids asia_minor battle_of_manzikert ottoman_empire mongol_invasion_of_europe turkic_peoples slavic_peoples tatars golden_horde crimean_khanate kazakh_khanate ataturk turkish_republic tbilisi podgorica transnistria 
dublin  world_war_i europe european_union demonym istanbul moscow paris london madrid demographics_of_europe winston_churchill vatican_city gibraltar republic_of_ireland isle_of_man monaco norway faroe_islands athens city_states early_middle_ages kiev protestant_reformation florence rome avignon protestant central_powers the_great_war berlin ireland tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara pristina stepanakert tskhinvali tiraspol 
kalach-na-donu  europe borders_of_the_continents boundaries_between_continents serafimovich_(town) arkhangelsk battle_of_stalingrad 
ostrogoths  europe migration_period middle_ages franks bosnia_and_herzegovina hungary italy malta adriatic_sea germanic_peoples late_antiquity early_middle_ages decline_of_the_roman_empire visigoths goths vandals huns angles saxons bulgars byzantine_empire charlemagne frankish_empire florence belgrade ljubljana 
autonomous_regions_of_portugal  europe list_of_transcontinental_countries transcontinental_country portugal al-andalus reconquista autonomous_regions_of_portugal 
baku  world_war_i europe moscow paris london madrid caucasus_mountains caspian_sea asia demographics_of_europe renaissance_art soviet_union vatican_city azerbaijan gibraltar georgia_(country) monaco turkey armenia athens caucasus kiev jerusalem turkic_peoples list_of_epidemics rome russian_empire stalin population_transfer_in_the_soviet_union the_great_war turkish_republic operation_barbarossa joseph_stalin battle_of_stalingrad berlin tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara sukhumi pristina stepanakert tskhinvali tiraspol 
mediterranean  thundersnow lake_superior vancouver_island europe borders_of_the_continents black_sea classical_antiquity demographics_of_europe ancient_history world_war enlargement_of_the_european_union princeton_university boundaries_between_continents albania greece italy malta portugal slovenia spain aegean_sea strait_of_gibraltar t_and_o_map bronze_age balkans homer roman_empire roman_republic germanic_peoples constantinople late_antiquity decline_of_the_roman_empire vikings pyrenees maritime_republics papacy granada ottoman_empire pope balkan_wars mussolini appeasement biome forest olive wolf balkan dwarf_elephant regions_of_europe zagreb 
rhineland  europe demonym germany rhine roman_empire augustus crusades thirty_years_war french_revolution napoleonic_wars congress_of_vienna prussia world_war_ii german_empire treaty_of_versailles weimar_republic ataturk adolf_hitler nazi_germany anschluss appeasement schuman_declaration 
athenian_democracy  europe classical_antiquity ancient_greece ancient_greek phoenicia greece aegean_sea anaximander herodotus ptolemy minoan_civilization crete phoenicians parthenon athens democracy cleisthenes aristotle socrates plato thucydides homer sophocles euripides hippocrates pythagoras euclid archimedes roman_empire monarchy parliament parliamentary_democracy 
cyprus_in_the_middle_ages  europe cyprus history_of_europe early_middle_ages maritime_republics third_crusade akrotiri_and_dhekelia 
columbus_day_storm_of_1962  extratropical_cyclone extratropical_transition_technique 
